台湾smt,#genre#
TNT Sports 4,http://smt.iktv.ddns-ip.net/Smart.php?id=tntsport4
Sony Ten 1,http://smt.iktv.ddns-ip.net/Smart.php?id=ten1_raj
Sony Ten 2,http://smt.iktv.ddns-ip.net/Smart.php?id=ten2_raj
Sony Ten 3,http://smt.iktv.ddns-ip.net/Smart.php?id=ten3_raj
SPOTV 1 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=go_spotv
SPO TV 2,http://smt.iktv.ddns-ip.net/Smart.php?id=go_spotv2
Skysports F1,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongf1
Skysports Cricket,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongcricket
Skysports EPL,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongepl
Skysports Main Event,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongmain
Skysports News,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongnews
Skysports Mix,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongmix
CCTV-5 体育频道,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv5
CCTV-5+ 体育赛事 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv5plus
爱尔达体育2台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport2_twn
爱尔达体育3台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport3_twn
Rugby Pass TV,http://smt.iktv.ddns-ip.net/Smart.php?id=Rugbypasstv
RTM Sports HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Rtmsport
Arena,http://smt.iktv.ddns-ip.net/Smart.php?id=Arena
Arena 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Arena2
BolaArena 1,http://smt.iktv.ddns-ip.net/Smart.php?id=Bolaarena1
BolaArena 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Bolaarena2
Astro Beinsports 1,http://smt.iktv.ddns-ip.net/Smart.php?id=Astrobein1
Astro Beinsports 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Astrobein2
Astro Beinsports 3,http://smt.iktv.ddns-ip.net/Smart.php?id=Astrobein3
台灣wanjiat,#genre#
TVBS News 新闻台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/tvbs_n/playlist.m3u8
TVBS 欢乐台 （备份）,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/tvbshuanle_twn/playlist.m3u8
TVBS HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/tvbs/playlist.m3u8
中天新闻 HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ctinews/playlist.m3u8
中天娱乐 CTI Entertaiment,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ctient/playlist.m3u8
