台灣TW,#genre#
Catchplay Beyond,p3p://167.114.175.6:55331/624886bd0005941ace48b3ef71407d9e
Cinema World,p3p://167.114.175.6:55331/6233e8f1000112b17dc1320c7d1c4049
MyCinemaEurope,p3p://167.114.175.6:55331/6233fc79000a0ea07e0d7fa1125015d0
三立綜合,p3p://167.114.175.6:55331/6233dc940004f17a7d90e7c364b93c82
八大綜藝,p3p://167.114.175.6:55331/621e16570009521a28836f1b4c052719
民視綜藝,p3p://167.114.175.6:55331/60226655000c42b2754eb8925f3a52d9
八大精彩,p3p://167.114.175.6:55331/6223beb7000542db3e9d251558fb45b1
緯來育樂,p3p://167.114.175.6:55331/6214bdc7000061300401d77e20cc43d8
緯來體育,p3p://167.114.175.6:55331/5fe16e4c000e45c17788ec964e9c5564
Life Time 臺灣,p3p://167.114.175.6:55331/623a91f0000d3ab297c4e6e2101d46b4
Life Time 臺灣,p3p://167.114.175.6:55331/6233e3870008739f7dac0de912e2311a
Boomerang,p3p://167.114.175.6:55331/621e313f0005594c28ec88582a49029c
愛爾達綜合,p3p://167.114.175.6:55331/644f9341000c1001680f3089032174aa
衛視西片,p3p://167.114.175.6:55331/60c79e440000ec5bfaa9367854ba796d
原住民電視,p3p://167.114.175.6:55331/64450b180002b23d3eeb784a0aa62e20
公視戲劇,p3p://167.114.175.6:55331/64450cdd000b67ea3ef2640f773a7ec7
EVE HD,p3p://167.114.175.6:55331/6445172e000920783f1aafee754f43e4
HGTV,p3p://167.114.175.6:55331/644518fd0002d5953f21bedc56b6465f
TVBS亞洲,p3p://167.114.175.6:55331/6484e089000a5e7a38440c1e1ace3b27
popc,p3p://167.114.175.6:55331/663e9212000a54b4285005cd59217563
TVN HD,p3p://167.114.175.6:55331/644f9623000a4051681a72d66bfc0191
Classica古典音樂,p3p://167.114.175.6:55331/6452b4f1000c38e8744ac80744c33d67
Mezzo Live,p3p://167.114.175.6:55331/6452bcb000039d52746907f4476f5e7b
豬哥亮歌廳秀,p3p://167.114.175.6:55331/6452bbf2000d02457466242b0e5c5ea2
UniverseTV,p3p://167.114.175.6:55331/644fbb7c0004a5e968ac550c11f72df5
Global Trekker,p3p://167.114.175.6:55331/644fb34f000f396e688c67ff6b147338
高點綜合,p3p://167.114.175.6:55331/64c7cf1b000247a33db6c6660f1427b6
高點綜合,p3p://167.114.175.6:55331/6483819d000e97b032e96e1f26b40f0b
人間衛視,p3p://167.114.175.6:55331/64bbd61c0005f2d80ef27a2574246048
霹靂臺灣,p3p://167.114.175.6:55331/644507280004aa433edc17562e211a38
Baby TV,p3p://167.114.175.6:55331/64bea3f00002bdf919e6522520650b26
華藝綜合,p3p://167.114.175.6:55331/64c62137000746f437278510051625d8
ELtoday綜合,p3p://167.114.175.6:55331/64c7d0cb0005131a3dbd5e9f3e8523f2
國會頻道 1,p3p://167.114.175.6:55331/64ce0646000722d755fe479603e64ba8
國會頻道 2,p3p://167.114.175.6:55331/64ce06980008b4f755ff884d646a56da
SMART,p3p://167.114.175.6:55331/64e367a800053465a982145d191f168f
CMUSIC,p3p://167.114.175.6:55331/64e368dc000e5b23a986c9d62f9604df
寰宇財經,p3p://167.114.175.6:55331/64e36edf00052681a99e432a601547f5
Rock Action,p3p://167.114.175.6:55331/64c6200b000b7fb53722f24464fa73dc
Rock Action,p3p://167.114.175.6:55331/64c61f34000b815b371faa6b51f85140
Rock Entertainmen,p3p://167.114.175.6:55331/64c61fa0000234d837214dea59b57166
Rock Expreme,p3p://167.114.175.6:55331/64c6200b000b7fb53722f24464fa73dc
視納華仁紀實,p3p://167.114.175.6:55331/62c9a3be00088219c69bba2111fd091e
大立電視,p3p://167.114.175.6:55331/64c4d2ba00051d1d320d17d218503f93
番薯臺,p3p://167.114.175.6:55331/64c27b030001a1b728e6741548c32c95
新唐人亞太,p3p://167.114.175.6:55331/64c0187c00055bf21f9595b742f56a64
時尚運動,p3p://167.114.175.6:55331/644fc33200017f2468ca733749451091
大愛1,p3p://167.114.175.6:55331/63ed9fff00076875e972c31c79f4152e
大愛2,p3p://167.114.175.6:55331/63eda04a0001f6fae973e6a334696980
國興衛視,p3p://167.114.175.6:55331/64bbca22000912200ec3b2631bca27c7
