綜合,#genre#
靖天戲劇,http://4gtv.muni.rip:9877/116/4gtv-4gtv055/index.m3u8
靖洋戲劇,http://4gtv.muni.rip:9877/118/4gtv-4gtv045/index.m3u8
CI 罪案偵緝頻道,http://4gtv.muni.rip:9877/215/4gtv-live027/index.m3u8
影迷數位紀實,http://4gtv.muni.rip:9877/212/4gtv-live023/index.m3u8
金光布袋戲,http://4gtv.muni.rip:9877/236/4gtv-live144/index.m3u8
採昌影劇,http://4gtv.muni.rip:9877/25/4gtv-4gtv049/index.m3u8
靖天電影,http://4gtv.muni.rip:9877/82/4gtv-4gtv061/index.m3u8
影迷數位電影,http://4gtv.muni.rip:9877/40/4gtv-4gtv011/index.m3u8
VOA美國之音,http://4gtv.muni.rip:9877/86/litv-ftv03/index.m3u8
屏東直播,http://4gtv.muni.rip:9877/93/4gtv-4gtv035/index.m3u8
宜蘭直播,http://4gtv.muni.rip:9877/94/4gtv-4gtv038/index.m3u8
普新競技,http://4gtv.muni.rip:9877/289/4gtv-live301/index.m3u8
芭蕾直播,http://4gtv.muni.rip:9877/290/4gtv-live302/index.m3u8
經典電影,http://4gtv.muni.rip:9877/201/4gtv-live021/index.m3u8
兒童卡通,http://4gtv.muni.rip:9877/269/4gtv-live009/index.m3u8
精選動漫,http://4gtv.muni.rip:9877/204/4gtv-live024/index.m3u8
i-Fun動漫,http://4gtv.muni.rip:9877/60/litv-ftv15/index.m3u8
ARIRANG阿里郎頻道,http://4gtv.muni.rip:9877/189/4gtv-4gtv079/index.m3u8
Global Trekker,http://4gtv.muni.rip:9877/252/4gtv-live112/index.m3u8
Smart知識,http://4gtv.muni.rip:9877/297/litv-longturn19/index.m3u8
靖洋卡通Nice Bingo,http://4gtv.muni.rip:9877/59/4gtv-4gtv057/index.m3u8
DW德國之聲,http://4gtv.muni.rip:9877/226/4gtv-live071/index.m3u8
花系列 經典劇場,http://4gtv.muni.rip:9877/279/4gtv-live016/index.m3u8
Nice TV 通天電視,http://4gtv.muni.rip:9877/119/4gtv-4gtv054/index.m3u8
MOMO親子,http://4gtv.muni.rip:9877/231/4gtv-live107/index.m3u8
TVBS精采,http://4gtv.muni.rip:9877/227/4gtv-4gtv067/index.m3u8
Mezzo Live HD,http://4gtv.muni.rip:9877/79/4gtv-4gtv083/index.m3u8
時尚運動X,http://4gtv.muni.rip:9877/69/4gtv-4gtv014/index.m3u8
好消息2,http://4gtv.muni.rip:9877/8/litv-ftv17/index.m3u8
國會頻道1,http://4gtv.muni.rip:9877/170/4gtv-4gtv084/index.m3u8
國會頻道2,http://4gtv.muni.rip:9877/171/4gtv-4gtv085/index.m3u8
TVBS綜藝,http://4gtv.muni.rip:9877/284/4gtv-live087/index.m3u8
TVBS臺劇,http://4gtv.muni.rip:9877/285/4gtv-live088/index.m3u8
Bloomberg TV,http://4gtv.muni.rip:9877/283/4gtv-live059/index.m3u8
大愛電視,http://4gtv.muni.rip:9877/209/4gtv-live007/index.m3u8
華視新聞,http://4gtv.mumi.rip:9877/34/4gtv-4gtv052/index.m3u8
中視新聞,http://4gtv.mumi.rip:9877/33/4gtv-4gtv074/index.m3u8
公視戲劇,http://4gtv.mumi.rip:9877/28/4gtv-4gtv042/index.m3u8
視納華仁紀實頻道,http://4gtv.mumi.rip:9877/38/4gtv-4gtv013/index.m3u8
amc電影,http://4gtv.mumi.rip:9877/39/4gtv-4gtv017/index.m3u8
大愛二,http://4gtv.mumi.rip:9877/230/4gtv-live106/index.m3u8
人間衛視,http://4gtv.mumi.rip:9877/210/4gtv-live008/index.m3u8
